player_name,team_abbr,opp_abbr,salary,position,roster_position,game_key,dk_id,name_plus_id,slate_date,slate_key,reason,source_name
Obi Agbim,BAYLOR,HOU,5200,G,G/UTIL,BAY@UH,42168664,Obi Agbim (42168664),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
RJ Smith,DEPAUL,VILL,4900,G,G/UTIL,VU@DPU,42168686,RJ Smith (42168686),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Darius Adams,MD,WISC,4900,G,G/UTIL,UMD@WISC,42168682,Darius Adams (42168682),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Devin Askew,VILL,DEPAUL,4700,G,G/UTIL,VU@DPU,42168696,Devin Askew (42168696),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Conor Enright,IND,MINN,4600,G,G/UTIL,MINN@IU,42168704,Conor Enright (42168704),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Thomas Bassong,FLAST,PITT,4800,F,F/UTIL,FSU@PITT,42168690,Thomas Bassong (42168690),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
David Coit,MD,WISC,4800,G,G/UTIL,UMD@WISC,42168692,David Coit (42168692),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Nick Dorn,IND,MINN,4300,G,G/UTIL,MINN@IU,42168727,Nick Dorn (42168727),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
C.J. Cox,PURDUE,NW,4400,G,G/UTIL,PUR@NW,42168723,C.J. Cox (42168723),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Caden Powell,BAYLOR,HOU,4500,F,F/UTIL,BAY@UH,42168712,Caden Powell (42168712),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kobe MaGee,FLAST,PITT,3600,G,G/UTIL,FSU@PITT,42168806,Kobe MaGee (42168806),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Daniel Jacobsen,PURDUE,NW,3500,F,F/UTIL,PUR@NW,42168816,Daniel Jacobsen (42168816),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Alex Steen,FLAST,PITT,5100,F,F/UTIL,FSU@PITT,42168670,Alex Steen (42168670),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Michael Rataj,BAYLOR,HOU,4000,G,G/UTIL,BAY@UH,42168761,Michael Rataj (42168761),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Reed Bailey,IND,MINN,3700,F,F/UTIL,MINN@IU,42168788,Reed Bailey (42168788),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Bryson Tucker,WASH,USC,3600,F,F/UTIL,USC@UW,42168796,Bryson Tucker (42168796),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Isiah Harwell,HOU,BAYLOR,3200,G,G/UTIL,BAY@UH,42168862,Isiah Harwell (42168862),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Fabian Flores,DEPAUL,VILL,3300,F,F/UTIL,VU@DPU,42168848,Fabian Flores (42168848),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Jack Benter,PURDUE,NW,3800,G,G/UTIL,PUR@NW,42168773,Jack Benter (42168773),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
AJ Swinton,FLAST,PITT,4200,F,F/UTIL,FSU@PITT,42168739,AJ Swinton (42168739),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Gicarri Harris,PURDUE,NW,3500,G,G/UTIL,PUR@NW,42168810,Gicarri Harris (42168810),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Omer Mayer,PURDUE,NW,3400,G,G/UTIL,PUR@NW,42168826,Omer Mayer (42168826),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Kalifa Sakho,HOU,BAYLOR,3900,F,F/UTIL,BAY@UH,42168765,Kalifa Sakho (42168765),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
Cam Miles,FLAST,PITT,3200,G,G/UTIL,FSU@PITT,42168856,Cam Miles (42168856),2026-03-04,main,,local_dk_slate_import:2026-03-04:main
