Pos,Team,Player,Salary,projOwn%,actualOwn%,Diff,Proj,Scored,dk_id,dk_player_name,dk_name_plus_id,dk_team_abbr,dk_salary,dk_slate_date,dk_game_key,salary_diff,candidate_count,best_tie_count,match_method,match_status
G,,Nojus Indrusaitis,"$4,500",6.45%,11.77%,5.30%,16.31,30.25,42168710,Nojus Indrusaitis,Nojus Indrusaitis (42168710),PITT,4500,2026-03-04,FSU@PITT,0.0,2,1,exact_name,matched
G,,Jeremy Dent-Smith,"$3,700",2.85%,0.11%,-2.70%,11.55,30.0,42168792,Jeremy Dent-Smith,Jeremy Dent-Smith (42168792),STAN,3700,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
F,,Jacob Cofie,"$6,800",1.45%,1.94%,0.50%,24.8,29.25,42168591,Jacob Cofie,Jacob Cofie (42168591),USC,6800,2026-03-04,USC@UW,0.0,3,1,exact_name,matched
G,,Lajae Jones,"$6,400",4.65%,0%,0%,27.28,28.25,42168610,Lajae Jones,Lajae Jones (42168610),FSU,6400,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
F,,Cameron Corhen,"$7,100",9.50%,18.06%,8.60%,31.84,28.0,42168581,Cameron Corhen,Cameron Corhen (42168581),PITT,7100,2026-03-04,FSU@PITT,0.0,2,1,exact_name,matched
F,,Ernest Udeh Jr.,"$7,400",4.80%,1.14%,-3.70%,25.84,28.0,42168565,Ernest Udeh Jr.,Ernest Udeh Jr. (42168565),MIA,7400,2026-03-04,MIA@SMU,0.0,2,1,exact_name,matched
G,,Brandon Maclin,"$7,400",10.25%,0%,0%,26.09,27.75,42168567,Brandon Maclin,Brandon Maclin (42168567),DPU,7400,2026-03-04,VU@DPU,0.0,1,1,exact_name,matched
G,,Jalen Haralson,"$6,700",0.74%,12.23%,11.50%,16.38,27.75,42168595,Jalen Haralson,Jalen Haralson (42168595),ND,6700,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
G,,Tramon Mark,"$5,900",11.85%,9.03%,-2.80%,21.65,27.5,42168630,Tramon Mark,Tramon Mark (42168630),TEX,5900,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Joseph Tugler,"$5,000",9.05%,7.20%,-1.90%,18.1,27.5,42168678,Joseph Tugler,Joseph Tugler (42168678),UH,5000,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
G,,Jayden Reid,"$5,600",4.05%,0%,0%,21.42,27.5,42168644,Jayden Reid,Jayden Reid (42168644),NW,5600,2026-03-04,PUR@NW,0.0,1,1,exact_name,matched
G,,Emanuel Sharp,"$6,500",4.20%,7.43%,3.20%,26.88,27.25,42168604,Emanuel Sharp,Emanuel Sharp (42168604),UH,6500,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
G,,D.J. Wagner,"$4,200",3.65%,0%,0%,14.86,27.0,42168741,D.J. Wagner,D.J. Wagner (42168741),ARK,4200,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Donavin Young,"$3,600",0.20%,0%,0%,10.06,27.0,42168804,Donavin Young,Donavin Young (42168804),STAN,3600,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
F,,Trey Kaufman-Renn,"$8,800",9.95%,0%,0%,34.11,26.0,42168507,Trey Kaufman-Renn,Trey Kaufman-Renn (42168507),PUR,8800,2026-03-04,PUR@NW,0.0,5,1,exact_name,matched
G,,Devin Askew,"$4,700",2.40%,18.06%,15.70%,17.41,25.75,42168696,Devin Askew,Devin Askew (42168696),VU,4700,2026-03-04,VU@DPU,0.0,3,1,exact_name,matched
F,,Caden Powell,"$4,500",3.25%,0%,0%,15.47,25.5,42168712,Caden Powell,Caden Powell (42168712),BAY,4500,2026-03-04,BAY@UH,0.0,3,1,exact_name,matched
F,,Oscar Cluff,"$5,500",7.45%,0%,0%,18.04,25.25,42168648,Oscar Cluff,Oscar Cluff (42168648),PUR,5500,2026-03-04,PUR@NW,0.0,5,1,exact_name,matched
G,,Milos Uzan,"$6,600",7.30%,0%,0%,27.45,25.25,42168600,Milos Uzan,Milos Uzan (42168600),UH,6600,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
G,,Nick Boyd,"$8,900",8.15%,7.43%,-0.70%,41.38,25.0,42168505,Nick Boyd,Nick Boyd (42168505),WISC,8900,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
G,,Braeden Carrington,"$6,100",3.90%,1.14%,-2.80%,19.56,24.5,42168622,Braeden Carrington,Braeden Carrington (42168622),WISC,6100,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
G,,Courtland Muldrew,"$4,100",0.15%,0%,0%,13.58,24.5,42168755,Courtland Muldrew,Courtland Muldrew (42168755),UW,4100,2026-03-04,USC@UW,0.0,2,1,exact_name,matched
G,,Cameron Carr,"$9,100",2.10%,0%,0%,29.81,24.25,42168501,Cameron Carr,Cameron Carr (42168501),BAY,9100,2026-03-04,BAY@UH,0.0,3,1,exact_name,matched
F,,Chauncey Wiggins,"$5,300",1.15%,0%,0%,20.94,24.25,42168660,Chauncey Wiggins,Chauncey Wiggins (42168660),FSU,5300,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
G/F,,Cade Tyson,"$8,400",23.04%,0%,0%,36.16,24.0,42168517,Cade Tyson,Cade Tyson (42168517),MINN,8400,2026-03-04,MINN@IU,0.0,2,1,exact_name,matched
G,,John Blackwell,"$8,100",4.55%,0%,0%,31.27,23.75,42168530,John Blackwell,John Blackwell (42168530),WISC,8100,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
G,,Cole Certa,"$6,900",3.95%,0%,0%,27.65,23.75,42168587,Cole Certa,Cole Certa (42168587),ND,6900,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
G,,Tru Washington,"$5,900",5.55%,7.09%,1.50%,25.4,23.5,42168628,Tru Washington,Tru Washington (42168628),MIA,5900,2026-03-04,MIA@SMU,0.0,2,1,exact_name,matched
G,,Braeden Shrewsberry,"$6,200",6.85%,0%,0%,25.81,23.25,42168618,Braeden Shrewsberry,Braeden Shrewsberry (42168618),ND,6200,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
G,,Wesley Yates III,"$5,400",14.90%,36.34%,21.40%,23.56,23.0,42168656,Wesley Yates III,Wesley Yates III (42168656),UW,5400,2026-03-04,USC@UW,0.0,2,1,exact_name,matched
G,,Jaylin Sellers,"$8,300",3.55%,0%,0%,31.76,23.0,42168522,Jaylin Sellers,Jaylin Sellers (42168522),PROV,8300,2026-03-04,MARQ@PROV,0.0,1,1,exact_name,matched
G,,Acaden Lewis,"$7,200",2.10%,0%,0%,30.89,23.0,42168577,Acaden Lewis,Acaden Lewis (42168577),VU,7200,2026-03-04,VU@DPU,0.0,3,1,exact_name,matched
G,,Braden Smith,"$9,800",8.65%,0%,0%,37.33,22.25,42168492,Braden Smith,Braden Smith (42168492),PUR,9800,2026-03-04,PUR@NW,0.0,5,1,exact_name,matched
G,,Conor Enright,"$4,600",4.20%,0%,0%,15.92,22.25,42168704,Conor Enright,Conor Enright (42168704),IU,4600,2026-03-04,MINN@IU,0.0,3,1,exact_name,matched
F,,AJ Rohosy,"$4,400",4.15%,4.91%,0.80%,19.65,22.25,42168719,AJ Rohosy,AJ Rohosy (42168719),STAN,4400,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
G,,Lamar Wilkerson,"$9,000",3.70%,0%,0%,37.57,22.0,42168503,Lamar Wilkerson,Lamar Wilkerson (42168503),IU,9000,2026-03-04,MINN@IU,0.0,3,1,exact_name,matched
